iter	MultiClass
279	1.137380947
280	1.136574571
281	1.135837867
282	1.1354481
283	1.134598891
284	1.133970808
285	1.133511662
286	1.133395151
287	1.132858568
288	1.132176901
289	1.131436455
290	1.130716577
291	1.130020714
292	1.129373761
293	1.128978298
294	1.128098498
295	1.127288549
296	1.126468735
297	1.125666195
298	1.124945106
299	1.124461508
300	1.123847706
301	1.123486871
302	1.122935655
303	1.122169795
304	1.121983723
305	1.121521814
306	1.120788624
307	1.120320079
308	1.119820376
309	1.11882252
310	1.117841222
311	1.117495012
312	1.116825643
313	1.116243573
314	1.115344624
315	1.114503014
316	1.113850368
317	1.113125858
318	1.112492311
319	1.112055288
320	1.111406416
321	1.111039853
322	1.110051717
323	1.109334614
324	1.108669174
325	1.107736013
326	1.107386716
327	1.106440589
328	1.105960562
329	1.104884983
330	1.104025602
331	1.103236539
332	1.102612467
333	1.101618135
334	1.100836193
335	1.100113807
336	1.099793493
337	1.099165128
338	1.098266375
339	1.097552439
340	1.097004903
341	1.096825676
342	1.096350319
343	1.09605054
344	1.095838927
345	1.09503626
346	1.094805574
347	1.093721824
348	1.093177713
349	1.092549438
350	1.092240918
351	1.091305263
352	1.090859531
353	1.090023512
354	1.089477533
355	1.088691463
356	1.088329187
357	1.087571429
358	1.087487221
359	1.086884712
360	1.086564172
361	1.085580495
362	1.085459916
363	1.08505924
364	1.084519394
365	1.083667864
366	1.08292958
367	1.081882713
368	1.081454603
369	1.081137821
370	1.080569226
371	1.079908502
372	1.079504019
373	1.079096086
374	1.078538404
375	1.078079237
376	1.07720281
377	1.076896067
378	1.076073857
379	1.074989698
380	1.074632881
381	1.074294513
382	1.073807287
383	1.073111773
384	1.072233232
385	1.071855637
386	1.071232123
387	1.07080654
388	1.070038495
389	1.0693775
390	1.069138932
391	1.06867948
392	1.068123226
393	1.067380963
394	1.066783603
395	1.066584866
396	1.065831992
397	1.065341822
398	1.064999718
399	1.064143223
400	1.063482242
401	1.06297086
402	1.062651764
403	1.06220171
404	1.061926398
405	1.061687461
406	1.060983732
407	1.060482062
408	1.059961733
409	1.059476428
410	1.059075691
411	1.058516519
412	1.058359195
413	1.057725162
414	1.056922481
415	1.056254337
416	1.055751026
417	1.055166054
418	1.054395494
419	1.053819599
420	1.053208677
421	1.05247293
422	1.051952502
423	1.051674146
424	1.050657591
425	1.050105669
426	1.049571441
427	1.048706891
428	1.048265928
429	1.047731234
430	1.046994358
431	1.046451681
432	1.045701243
433	1.045064934
434	1.044321814
435	1.043620126
436	1.043185745
437	1.042855171
438	1.041930808
439	1.041337303
440	1.040628849
441	1.039827413
442	1.038971642
443	1.038256245
444	1.037601077
445	1.037178351
446	1.036863925
447	1.036302668
448	1.035594341
449	1.034887287
