iter	MultiClass
0	1.56729532
1	1.543500358
2	1.526359201
3	1.513460762
4	1.499960273
5	1.492913855
6	1.487054465
7	1.480726259
8	1.474024041
9	1.466910309
10	1.462309322
11	1.459231459
12	1.455740695
13	1.452329495
14	1.449400882
15	1.446894121
16	1.44371585
17	1.440192787
18	1.436734255
19	1.43424594
20	1.431968514
21	1.42922529
22	1.426569086
23	1.424730999
24	1.422748029
25	1.420838819
26	1.419024723
27	1.41666038
28	1.413626686
29	1.411580781
30	1.409302504
31	1.407104778
32	1.404129045
33	1.402493778
34	1.400830884
35	1.399294616
36	1.397199568
37	1.395182643
38	1.39353682
39	1.392104133
40	1.390287834
41	1.388062329
42	1.386357749
43	1.384989507
44	1.383406308
45	1.38208776
46	1.380316868
47	1.378903365
48	1.37691117
49	1.375331837
50	1.374327837
51	1.372442586
52	1.370673682
53	1.369068531
54	1.366978525
55	1.365649656
56	1.36365519
57	1.362131848
58	1.360499425
59	1.358249736
60	1.357141262
61	1.355262522
62	1.353708132
63	1.352221682
64	1.350496735
65	1.348701997
66	1.347168827
67	1.345544158
68	1.344350957
69	1.342807877
70	1.34125668
71	1.339535177
72	1.337698201
73	1.336085654
74	1.334889463
75	1.333144157
76	1.331994171
77	1.33045951
78	1.32852473
79	1.326674279
80	1.325496399
81	1.324335442
82	1.322957378
83	1.321310317
84	1.32038173
85	1.319146252
86	1.317650096
87	1.315901161
88	1.315085685
89	1.314070533
90	1.312167914
91	1.311262672
92	1.310024897
93	1.308774416
94	1.307346213
95	1.306083953
96	1.304244549
97	1.302783285
98	1.301470509
99	1.300752987
100	1.299201435
101	1.298011388
102	1.296938342
103	1.295082326
104	1.293760522
105	1.292754104
106	1.29148416
107	1.290285849
108	1.289317152
109	1.288589183
110	1.288160724
111	1.287462243
112	1.286007216
113	1.285308098
114	1.283565074
115	1.281907136
116	1.280812156
117	1.279437358
118	1.27845096
119	1.276940532
120	1.275545363
121	1.274571692
122	1.273307474
123	1.271947778
124	1.270719417
125	1.26936841
126	1.268101751
127	1.267297034
128	1.26630489
129	1.265309032
130	1.26437371
131	1.263387565
132	1.26231749
133	1.260784227
134	1.259731005
135	1.258647422
136	1.257965787
137	1.256866674
138	1.256004
139	1.255165616
140	1.254616642
141	1.252945681
142	1.252266183
143	1.250839032
144	1.249958798
145	1.24876198
146	1.247187257
147	1.246079882
148	1.245301627
149	1.244241074
150	1.243462104
151	1.242740165
152	1.24169816
153	1.240337139
154	1.239213344
155	1.238460609
156	1.237474842
157	1.236189959
158	1.235036979
159	1.23398835
160	1.233675407
161	1.232650542
162	1.231459409
163	1.230377952
164	1.229525966
165	1.228595797
166	1.227322056
167	1.22657692
168	1.226064932
169	1.225582
170	1.224564972
171	1.223396491
172	1.221639398
173	1.221247718
174	1.220348462
175	1.219523906
176	1.218623675
177	1.217848804
178	1.217226095
179	1.216657716
180	1.215334478
181	1.214521809
182	1.213664574
183	1.21303619
184	1.212070967
185	1.210978557
186	1.210205247
187	1.209156475
188	1.2082381
189	1.207626136
190	1.206847994
191	1.205722292
192	1.205081087
193	1.203898776
194	1.203282886
195	1.202553667
196	1.201725195
197	1.200663997
198	1.199880406
199	1.199238813
200	1.198312512
201	1.197913461
202	1.196965007
203	1.195934201
204	1.195469655
205	1.195029947
206	1.193618662
207	1.192610753
208	1.192022438
209	1.191245147
210	1.19084249
211	1.190231308
212	1.189774204
213	1.189078058
214	1.188777746
215	1.18800341
216	1.187017709
217	1.186202118
218	1.185265259
219	1.184860675
220	1.184279563
221	1.183847812
222	1.183057813
223	1.182291684
224	1.181157376
225	1.18009442
226	1.179450072
227	1.178482878
228	1.177368325
229	1.176780056
230	1.17578125
231	1.175061165
232	1.174550004
233	1.173644682
234	1.173238045
235	1.172180492
236	1.171620321
237	1.170427411
238	1.169977651
239	1.168938353
240	1.168585549
241	1.167564138
242	1.166759083
243	1.16639529
244	1.165244015
245	1.164032818
246	1.163176206
247	1.162229374
248	1.161401545
249	1.160126257
250	1.158922118
251	1.158566604
252	1.158144896
253	1.15762143
254	1.157122711
255	1.156308225
256	1.155450597
257	1.15460202
258	1.153553793
259	1.152925187
260	1.152088027
261	1.150923968
262	1.150402638
263	1.149435431
264	1.148567101
265	1.147685935
266	1.14673921
267	1.14613068
268	1.145180766
269	1.14436039
270	1.143202135
271	1.142180036
272	1.141622271
273	1.140701725
274	1.140182931
275	1.139558093
276	1.138925657
277	1.138272703
278	1.137913783
